"mesh3"	"YEAR"	"0_森林（人工林以外）"	"1_人工林"	"2_草地"	"3_農地"	"4_建物"	"5_水域"
51376091	1976	81881.3323033059	15253.6631273704	19426.9990861353	0	38853.9981722705	0
51376091	1987	99588.2258855122	15263.4340230426	27144.7360900545	0	13419.5966904728	0
51376091	1991	104878.780274321	13874.8421098626	30230.2661719551	0	6432.10413294287	0
51376091	1997	99333.7398513215	13683.3238869844	36373.3078697996	0	6025.62108097658	0
51376091	2006	96285.9122385558	10831.6889285673	35761.0656985132	0	12537.3258234458	0
51376091	2009	90602.8807208185	9362.87306036207	40990.2773399935	0	14459.9615679079	0
51376091	2014	81910.1348596139	7139.02851899533	42424.3655718846	0	23942.4637385883	0
51376091	2016	85116.580162745	6837.88217829524	38853.9981722705	0	24607.5321757713	0
51376091	2021	88997.6731652309	5547.05572062742	36695.4427182555	0	24175.8210849683	0
51376092	1976	164138.837622863	13737.3036937684	7115.04565266526	0	28460.182610661	0
51376092	1987	174736.517390895	12033.4309915684	13340.7105987474	0	13340.7105987474	0
51376092	1991	187431.808890161	11789.4693844664	14230.0913053305	0	0	0
51376092	1997	175432.697780977	9348.27193039968	23334.1156290818	0	5336.28423949895	0
51376092	2006	181331.892284034	6736.07118371242	25383.4061122112	0	0	0
51376092	2009	162793.46784577	5086.03432886691	40235.5831658221	0	5336.28423949895	0
51376092	2014	174791.247540198	3593.11132305206	35067.0107167074	0	0	0
51376092	2016	178439.249541337	2720.75899960134	32291.3610390193	0	0	0
51376092	2021	185415.602061352	670.207316047609	27365.5602025587	0	0	0
51376093	1976	28887.210386338	3761.14626824698	12243.1337454694	32648.356654585	40810.4458182312	0
51376093	1987	22989.1229347815	5578.18913798033	8162.08916364624	28567.3120727619	53053.5795637006	0
51376093	1991	22064.0580088905	6503.25406387131	8162.08916364624	28567.3120727619	53053.5795637006	0
51376093	1997	26627.8750929509	10356.5914298212	11095.3399568316	22190.6799136632	48079.8064796037	0
51376093	2006	35064.7789143765	19623.4598497531	11652.3827713072	27188.8931330501	24820.7782043836	0
51376093	2009	27122.2341113459	20409.4829290101	14119.1744941982	34080.7660204785	22618.6353178378	0
51376093	2014	33580.3324886128	28523.3963008183	15092.0421545843	30831.6384061006	10322.8835227545	0
51376093	2016	34544.5257573433	32410.6200113723	18389.0893308444	33006.0577733105	0	0
51376093	2021	31156.6707143936	38110.3611608136	16972.7164197527	32110.5445779106	0	0
51376094	1976	0	0	0	0	0	0
51376094	1987	0	0	0	0	0	0
51376094	1991	0	2022.43566158791	524.881064192144	0	0	0
51376094	1997	4.89909642781739	2310.00559222347	232.412037128769	0	0	0
