mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52364647	0.772	0.264	0.298	0.965	0.773	0.395	0.816	0.458	0.188	0.074	0.462	261	4	131	2	1	16	0	10	5	0.3479	0.0439	0.9713	0.5598	0.1397	0.7336	0	0.2213	0.4151
52364657	0.81	0.472	0.48	0.963	0.781	0.319	0.878	0.634	0.452	0.175	0.675	525	4	136	2	1	24	3	19	19	0.6253	0.0439	0.9758	0.5598	0.1397	0.8452	0.6128	0.3734	0.6729
52364658	0.81	0.31	0.285	0.969	0.761	0.495	0.862	0.497	0.194	0.071	0.461	296	3	133	0	1	21	0	12	6	0.3911	0.024	0.9732	0	0.1397	0.8092	0	0.2575	0.4486
52364667	0.863	0.529	0.571	0.973	0.791	0.314	0.912	0.819	0.573	0.269	0.811	622	9	160	5	3	44	5	31	29	0.705	0.2906	0.9905	0.7201	0.4192	0.9707	0.7748	0.5339	0.7605
52364668	0.833	0.36	0.351	0.971	0.769	0.504	0.885	0.616	0.337	0.116	0.646	401	4	139	1	1	25	2	14	18	0.5083	0.0439	0.9781	0.4252	0.1397	0.8559	0.4894	0.2923	0.6618
52364669	0.768	0.373	0.446	0.965	0.772	0.335	0.798	0.507	0.259	0.094	0.478	367	6	133	1	0	19	1	13	8	0.4723	0.1111	0.9732	0.4252	0	0.7814	0.3004	0.2749	0.5014
52364677	0.799	0.29	0.343	0.972	0.716	0.333	0.836	0.617	0.409	0.092	0.825	345	5	134	1	0	21	3	12	33	0.4478	0.0721	0.974	0.4252	0	0.8092	0.6128	0.2575	0.7882
52364678	0.801	0.43	0.391	0.964	0.752	0.472	0.852	0.591	0.286	0.116	0.559	413	4	133	1	1	22	1	14	10	0.5206	0.0439	0.9732	0.4252	0.1397	0.8221	0.3004	0.2923	0.544
52364679	0.79	0.35	0.414	0.967	0.769	0.414	0.824	0.552	0.265	0.102	0.491	364	4	130	1	1	22	1	14	10	0.469	0.0439	0.9703	0.4252	0.1397	0.8221	0.3004	0.2923	0.544
52364687	0.777	0.209	0.262	0.968	0.64	0.333	0.83	0.475	0.484	0.065	0.866	184	4	128	0	1	18	4	10	34	0.2451	0.0439	0.9683	0	0.1397	0.7662	0.7031	0.2213	0.7946
52364688	0.793	0.384	0.357	0.964	0.713	0.372	0.852	0.552	0.416	0.105	0.746	336	4	129	1	1	19	2	12	17	0.4378	0.0439	0.9693	0.4252	0.1397	0.7814	0.4894	0.2575	0.6503
52364689	0.758	0.219	0.288	0.966	0.728	0.275	0.802	0.399	0.186	0.059	0.372	209	3	122	0	0	15	0	6	4	0.2801	0.024	0.9618	0	0	0.7163	0	0.1458	0.3747
52364696	0.883	0.269	0.386	0.981	0.634	0.839	0.874	0.73	0.491	0.078	0.86	268	7	157	3	3	27	5	16	31	0.3565	0.1602	0.9892	0.6295	0.4192	0.8754	0.7748	0.3256	0.7748
52364697	0.849	0.331	0.303	0.969	0.741	0.49	0.912	0.705	0.577	0.09	0.919	415	4	133	2	2	37	5	11	38	0.5225	0.0439	0.9732	0.5598	0.2845	0.943	0.7748	0.2396	0.8195
52364698	0.89	0.753	0.505	0.955	0.792	0.711	0.94	0.787	0.693	0.261	0.87	735	8	133	3	5	43	5	28	33	0.7831	0.2216	0.9732	0.6295	0.5899	0.9675	0.7748	0.4974	0.7882
52364699	0.811	0.377	0.362	0.961	0.796	0.45	0.884	0.562	0.294	0.124	0.535	447	4	128	2	1	27	1	14	12	0.5539	0.0439	0.9683	0.5598	0.1397	0.8754	0.3004	0.2923	0.5801
52364756	0.844	0.923	0.94	0.892	0.911	0.696	0.867	0.74	0.893	0.629	0.95	1084	12	106	10	7	37	8	63	66	0.9332	0.5208	0.9382	0.8785	0.7463	0.943	0.9401	0.8408	0.9549
52364757	0.791	0.832	0.831	0.838	0.877	0.758	0.856	0.424	0.824	0.446	0.912	846	7	85	8	7	34	7	47	60	0.8448	0.1602	0.8862	0.8182	0.7463	0.9272	0.8903	0.7041	0.9306
52364764	0.71	0.673	0.725	0.871	0.878	0.656	0.797	0.428	0.738	0.451	0.871	734	8	105	9	8	25	7	54	50	0.7824	0.2216	0.9364	0.8479	0.8101	0.8559	0.8903	0.7675	0.885
52364765	0.781	0.872	0.837	0.862	0.902	0.711	0.83	0.484	0.823	0.566	0.901	907	9	98	10	8	26	7	61	57	0.8728	0.2906	0.921	0.8785	0.8101	0.8662	0.8903	0.8256	0.9172
52364766	0.79	0.871	0.761	0.886	0.909	0.684	0.847	0.555	0.923	0.617	0.978	966	9	107	9	7	34	8	63	68	0.8963	0.2906	0.94	0.8479	0.7463	0.9272	0.9401	0.8408	0.9624
52364767	0.76	0.822	0.797	0.803	0.882	0.786	0.825	0.347	0.885	0.533	0.935	839	8	82	8	7	21	7	56	63	0.8414	0.2216	0.8767	0.8182	0.7463	0.8092	0.8903	0.7849	0.9429
52364770	0.897	0.547	0.649	0.971	0.879	0.743	0.927	0.846	0.364	0.245	0.622	684	10	153	7	4	40	2	30	19	0.7503	0.3667	0.9872	0.7878	0.5038	0.9565	0.4894	0.5219	0.6729
52364774	0.842	0.87	0.796	0.892	0.92	0.829	0.882	0.713	0.899	0.648	0.961	940	10	110	11	7	40	7	61	59	0.8862	0.3667	0.9451	0.9088	0.7463	0.9565	0.8903	0.8256	0.9262
52364775	0.803	0.863	0.786	0.851	0.908	0.796	0.857	0.518	0.844	0.618	0.883	935	10	99	11	6	30	7	64	57	0.8842	0.3667	0.9234	0.9088	0.6718	0.9002	0.8903	0.8484	0.9172
52364776	0.754	0.701	0.696	0.852	0.878	0.838	0.83	0.401	0.867	0.709	0.992	837	9	99	10	7	21	7	64	71	0.8403	0.2906	0.9234	0.8785	0.7463	0.8092	0.8903	0.8484	0.9734
52364777	0.809	0.877	0.818	0.815	0.878	0.83	0.859	0.447	0.855	0.515	0.843	874	9	79	7	7	26	7	52	50	0.8582	0.2906	0.867	0.7878	0.7463	0.8662	0.8903	0.7503	0.885
52364778	0.795	0.823	0.77	0.788	0.868	0.872	0.853	0.387	0.844	0.48	0.904	818	7	78	7	7	24	8	51	55	0.8306	0.1602	0.8636	0.7878	0.7463	0.8452	0.9401	0.7411	0.9081
52364780	0.822	0.408	0.461	0.966	0.834	0.49	0.876	0.641	0.415	0.151	0.672	528	7	143	4	1	30	4	18	23	0.6279	0.1602	0.9811	0.6797	0.1397	0.9002	0.7031	0.3582	0.7125
52364781	0.858	0.59	0.648	0.965	0.882	0.724	0.879	0.794	0.661	0.232	0.907	682	8	148	6	3	31	5	29	43	0.7489	0.2216	0.9844	0.7564	0.4192	0.9075	0.7748	0.5096	0.8482
52364782	0.886	0.689	0.675	0.953	0.897	0.902	0.903	0.75	0.68	0.199	0.9	700	8	132	7	4	39	5	28	38	0.7611	0.2216	0.9722	0.7878	0.5038	0.9522	0.7748	0.4974	0.8195
52364783	0.871	0.723	0.705	0.944	0.873	0.88	0.898	0.636	0.662	0.173	0.912	629	8	122	7	5	39	5	29	40	0.7103	0.2216	0.9618	0.7878	0.5899	0.9522	0.7748	0.5096	0.8311
52364784	0.886	0.77	0.76	0.942	0.871	0.802	0.926	0.735	0.716	0.231	0.886	685	9	129	7	5	43	6	35	42	0.7509	0.2906	0.9693	0.7878	0.5899	0.9675	0.8358	0.5798	0.8427
52364785	0.869	0.953	0.903	0.878	0.91	0.741	0.895	0.742	0.895	0.624	0.862	1077	11	101	10	7	35	8	57	43	0.9314	0.4453	0.9279	0.8785	0.7463	0.9328	0.9401	0.7932	0.8482
52364786	0.909	0.958	0.93	0.894	0.908	0.65	0.936	0.861	0.907	0.585	0.969	1141	11	110	11	6	44	8	52	67	0.9469	0.4453	0.9451	0.9088	0.6718	0.9707	0.9401	0.7503	0.9587
52364787	0.817	0.845	0.731	0.819	0.88	0.859	0.876	0.482	0.863	0.573	0.872	858	7	88	7	7	29	7	52	52	0.8507	0.1602	0.8949	0.7878	0.7463	0.8925	0.8903	0.7503	0.8945
52364788	0.802	0.829	0.779	0.794	0.87	0.898	0.847	0.426	0.862	0.475	0.913	855	7	76	7	7	23	8	52	55	0.8491	0.1602	0.8568	0.7878	0.7463	0.8342	0.9401	0.7503	0.9081
